index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
627,AFG,Asia,Afghanistan,2021-11-12,156487.0,31.0,13.571,7292.0,0.0,1.143,3928.337,0.778,0.341,183.053,0.0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
1893,ALB,Europe,Albania,2021-11-12,192013.0,573.0,574.143,2983.0,5.0,5.0,66835.159,199.448,199.845,1038.311,1.74,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
2520,DZA,Africa,Algeria,2021-11-12,207764.0,140.0,109.857,5971.0,5.0,4.571,4656.65,3.138,2.462,133.829,0.112,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
3141,AND,Europe,Andorra,2021-11-12,15819.0,75.0,28.714,130.0,0.0,0.0,204501.383,969.568,371.206,1680.585,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
3744,AGO,Africa,Angola,2021-11-12,64875.0,18.0,37.571,1726.0,1.0,1.0,1911.821,0.53,1.107,50.864,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
4026,AIA,North America,Anguilla,2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18782.0,9624.0,9158.0,,,11.0,124.18,63.63,60.55,,727.0,,15125.0,,,,,,,,,,,,,81.88,,,,,
4636,ATG,North America,Antigua and Barbuda,2021-11-12,4106.0,4.0,4.0,106.0,1.0,0.286,41589.012,40.515,40.515,1073.657,10.129,2.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
5318,ARG,South America,Argentina,2021-11-12,5304059.0,1614.0,1257.0,116222.0,13.0,19.857,116302.232,35.39,27.562,2548.403,0.285,0.435,,,,,,,,,,,,,,,,,,,62598352.0,35629676.0,27090784.0,,195516.0,204775.0,137.26,78.13,59.4,,4490.0,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
5940,ARM,Asia,Armenia,2021-11-12,326830.0,1309.0,1427.286,6937.0,70.0,50.714,110113.176,441.019,480.871,2337.163,23.584,17.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
6169,ABW,North America,Aruba,2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160561.0,83183.0,77378.0,,123.0,78.0,149.78,77.6,72.18,,728.0,,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
